"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.8879,407.22,-993.68,2.628e+06,98.629,18405,0,0,0,0,0,0,-2.3413e-15,-4.1018e-13,-1.7348e-12,-1.1952e-09,-3.6272e-12,4.326e-11,0,0,6.8044e+05,1208.1,-0.92183,0.83325,7036.6,1.0436e+06,0.88594,682.67,4.6432e-05,0,0,0,0,0.010104,0.030085,0.26712,0.020797,0
1.8946,407.51,-991.59,2.636e+06,95.081,18113,0,0,0,0,0,0,-2.4741e-15,2.586e-13,-1.1874e-12,-2.7067e-09,-3.6227e-12,7.9449e-11,0,0,6.8342e+05,1209.1,-0.91528,0.82854,7036.3,1.0434e+06,0.88168,682.94,4.6453e-05,0,0,0,0,0.0099273,0.029022,0.26712,0.018778,0
1.8995,407.54,-990.18,2.6416e+06,91.592,17862,0,0,0,0,0,0,-1.6124e-15,-4.4778e-13,-7.2403e-13,-2.8079e-09,-3.0452e-12,5.2406e-11,0,0,6.855e+05,1209.6,-0.91072,0.82523,7036,1.0432e+06,0.87872,683.1,4.6466e-05,0,0,0,0,0.0097163,0.02837,0.26712,0.017526,0
1.9051,408.44,-988.33,2.6479e+06,86.795,17511,0,0,0,0,0,0,-1.6902e-15,-3.1911e-13,-9.9045e-13,-3.681e-09,-2.5961e-12,4.2022e-11,0,0,6.8785e+05,1210.2,-0.90556,0.82155,7035.6,1.043e+06,0.87536,683.26,4.6479e-05,0,0,0,0,0.0094398,0.02763,0.26712,0.015853,0
1.9085,408.97,-987.07,2.652e+06,85.418,17418,0,0,0,0,0,0,-2.4193e-15,4.6187e-14,-1.4717e-12,-3.8973e-09,-2.686e-12,5.6886e-11,0,0,6.8936e+05,1210.7,-0.90224,0.81918,7035.5,1.0429e+06,0.8732,683.4,4.649e-05,0,0,0,0,0.0093443,0.027163,0.26712,0.014804,0
1.9723,438.91,-946.89,2.7268e+06,75.326,17523,0,0,0,0,0,0,-8.8818e-16,9.9683e-13,-7.7309e-13,-1.5882e-09,-3.6768e-12,-3.5565e-10,0,0,7.18e+05,1220.3,-0.8393,0.77131,7033.7,1.0384e+06,0.83234,686.09,4.6703e-05,0,0,0,0,0.0084767,0.025935,0.26712,-0.004643,0
1.9573,425.57,-962.59,2.7104e+06,71.19,16715,0,0,0,0,0,0,-1.6351e-15,2.3538e-13,-2.2643e-13,-2.8416e-09,-1.5149e-12,-3.445e-11,0,0,7.1119e+05,1217.9,-0.85426,0.7845,7034.1,1.0412e+06,0.84205,685.44,4.6652e-05,0,0,0,0,0.0083333,0.024874,0.26712,0.0019109,0
1.9315,414.65,-977.91,2.68e+06,77.94,16926,0,0,0,0,0,0,-2.6141e-15,-1.3544e-13,-5.5719e-13,-3.6604e-09,-2.1005e-12,6.1234e-11,0,0,6.9963e+05,1214.1,-0.87967,0.80357,7034.8,1.0428e+06,0.85854,684.36,4.6566e-05,0,0,0,0,0.0088875,0.025354,0.26712,0.0088257,0
1.935,415.36,-976,2.6841e+06,77.337,16917,0,0,0,0,0,0,-2.6485e-15,-7.7671e-14,-2.5677e-13,-3.8595e-09,-2.0585e-12,5.3802e-11,0,0,7.0122e+05,1214.7,-0.87618,0.80082,7034.7,1.0424e+06,0.85627,684.52,4.6579e-05,0,0,0,0,0.0088347,0.025217,0.26712,0.0081138,0
1.8251,422.59,-899.58,2.5533e+06,535.89,47542,0,0,0,0,0,0,-4.8585e-15,-6.0289e-13,-3.9838e-12,-4.9426e-09,-7.5793e-11,-6.2197e-10,0,0,6.6853e+05,1227.8,-0.94801,0.79131,7063.1,9.861e+05,0.90301,688.2,4.6871e-05,0,0,0,0,0.020583,0.055337,0.26712,-0.048399,0
1.8206,422.7,-914.73,2.5479e+06,483.02,44619,0,0,0,0,0,0,-6.1804e-15,-2.2794e-12,-3.6542e-12,-1.1574e-08,-7.6655e-11,-5.9084e-10,0,0,6.6453e+05,1223.5,-0.95679,0.80575,7060.3,9.9366e+05,0.90875,686.99,4.6775e-05,0,0,0,0,0.019653,0.05824,0.26712,-0.051654,0
1.8183,422.38,-922.42,2.5456e+06,455.31,43379,0,0,0,0,0,0,-6.0977e-15,-1.453e-12,-2.8349e-12,-1.1141e-08,-6.8559e-11,-4.746e-10,0,0,6.6268e+05,1221.6,-0.96086,0.81282,7059.1,9.9742e+05,0.9114,686.47,4.6733e-05,0,0,0,0,0.019082,0.060272,0.26712,-0.053983,0
1.818,423.6,-939.82,2.5461e+06,391.47,39521,0,0,0,0,0,0,-5.6666e-15,-6.5097e-13,-2.6853e-12,-3.7095e-09,-4.905e-11,-1.3062e-10,0,0,6.6014e+05,1217.1,-0.96644,0.82757,7055.4,1.0077e+06,0.91505,685.21,4.6633e-05,0,0,0,0,0.017979,0.064432,0.26712,-0.058587,0
1.8181,423.59,-941.84,2.5464e+06,384.16,39138,0,0,0,0,0,0,-6.0854e-15,-1.0175e-12,-2.5371e-12,-4.6097e-09,-4.7567e-11,-9.7967e-11,0,0,6.5996e+05,1216.7,-0.96683,0.82911,7055,1.0089e+06,0.91531,685.09,4.6624e-05,0,0,0,0,0.017842,0.065013,0.26712,-0.059242,0
1.8246,422.24,-963.31,2.5549e+06,300.7,33686,0,0,0,0,0,0,-5.0528e-15,-2.6963e-12,-1.243e-12,-9.413e-09,-4.6564e-11,-2.1123e-11,0,0,6.5959e+05,1211.7,-0.96764,0.84317,7049.8,1.0222e+06,0.91584,683.69,4.6513e-05,0,0,0,0,0.016235,0.071185,0.26712,-0.065926,0
1.8238,421.72,-958.67,2.5537e+06,318.12,34698,0,0,0,0,0,0,-6.1062e-15,-2.744e-12,-1.5723e-12,-9.8925e-09,-5.0832e-11,-5.3284e-11,0,0,6.5995e+05,1212.9,-0.96686,0.83955,7050.9,1.0192e+06,0.91533,684,4.6538e-05,0,0,0,0,0.016573,0.069907,0.26712,-0.064515,0
1.8378,414.56,-981.96,2.5705e+06,218.53,27741,0,0,0,0,0,0,-8.3119e-15,-3.0005e-12,-4.3203e-12,-6.8326e-09,-4.3332e-11,1.0997e-10,0,0,6.6249e+05,1208.3,-0.96128,0.84953,7044.7,1.0329e+06,0.91168,682.71,4.6435e-05,0,0,0,0,0.014474,0.083643,0.26712,0.050145,0
1.8378,414.56,-981.96,2.5705e+06,218.53,27741,0,0,0,0,0,0,-8.3119e-15,-3.0005e-12,-4.3203e-12,-6.8326e-09,-4.3332e-11,1.0997e-10,0,0,6.6249e+05,1208.3,-0.96128,0.84953,7044.7,1.0329e+06,0.91168,682.71,4.6435e-05,0,0,0,0,0.014474,0.083643,0.26712,-0.079275,0
