"Density","X-Momentum","Y-Momentum","Energy","TKE","Omega","Limiter_Density","Limiter_X-Momentum","Limiter_Y-Momentum","Limiter_Energy","Limiter_TKE","Limiter_Omega","Residual_Density","Residual_X-Momentum","Residual_Y-Momentum","Residual_Energy","Residual_TKE","Residual_Omega","Grid_Velx","Grid_Vely","Pressure","Temperature","Pressure_Coefficient","Mach","Entropy","Total_Pressure","MachIs","SoundSpeed","Laminar_Viscosity","Skin_Friction_Coefficient_X","Skin_Friction_Coefficient_Y","Heat_Flux","Y_Plus","Eddy_Viscosity","Sharp_Edge_Dist","Points:0","Points:1","Points:2"
1.526,382.55,57.704,1.8944e+06,507.16,75812,0,0,0,0,0,0,-3.1792e-15,-4.0588e-13,1.0466e-12,-9.4535e-11,-1.0561e-10,-2.1916e-09,0,-297.67,5.4047e+05,1187.2,-1.2294,0.37468,7082.3,5.921e+05,1.0921,676.72,4.5959e-05,0,0,0,0,0.010219,0.022246,0.41172,0.057133,0
1.5307,382.92,59.327,1.8974e+06,499.43,72373,0,0,0,0,0,0,-2.7968e-15,-2.7253e-13,7.83e-13,-4.5056e-10,-9.8622e-11,-2.2193e-09,0,-297.67,5.4134e+05,1185.4,-1.2275,0.37441,7079.9,5.9297e+05,1.0907,676.23,4.592e-05,0,0,0,0,0.010638,0.021596,0.41172,0.05615,0
1.5185,386.86,61.046,1.889e+06,503.26,79638,0,0,0,0,0,0,-3.0587e-15,-1.9451e-13,1.0695e-12,-1.0905e-10,-1.1624e-10,-1.9587e-09,0,-297.67,5.3846e+05,1188.5,-1.2338,0.38092,7084.9,5.9166e+05,1.0952,677.12,4.5991e-05,0,0,0,0,0.0096022,0.023794,0.41172,0.059285,0
1.5227,385.47,59.922,1.8921e+06,503.03,77395,0,0,0,0,0,0,-2.8866e-15,-2.4066e-13,1.1116e-12,1.4099e-10,-1.0915e-10,-2.0344e-09,0,-297.67,5.3953e+05,1187.6,-1.2314,0.3785,7083.3,5.9214e+05,1.0935,676.85,4.597e-05,0,0,0,0,0.0099334,0.023026,0.41172,0.058206,0
1.5152,396.06,71.088,1.8857e+06,486.03,79081,0,0,0,0,0,0,-3.7482e-15,-6.6529e-14,9.8601e-13,-9.3242e-10,-1.3611e-10,-1.8788e-09,0,-297.67,5.3663e+05,1187.1,-1.2378,0.39247,7084.4,5.9296e+05,1.098,676.72,4.5959e-05,0,0,0,0,0.0093137,0.025558,0.41172,0.061643,0
1.517,390.63,65.428,1.8873e+06,495.63,79400,0,0,0,0,0,0,-2.951e-15,5.2005e-14,9.6233e-13,4.094e-10,-1.0952e-10,-1.7046e-09,0,-297.67,5.3761e+05,1187.9,-1.2357,0.3857,7084.6,5.9208e+05,1.0965,676.92,4.5975e-05,0,0,0,0,0.009479,0.024475,0.41172,0.060195,0
1.5166,410.84,87.508,1.8856e+06,460.87,73592,0,0,0,0,0,0,-3.2749e-15,-6.4845e-14,1.1104e-12,3.4445e-10,-1.3543e-10,-1.5703e-09,0,-297.67,5.3523e+05,1182.9,-1.2409,0.41001,7080.4,5.9667e+05,1.1002,675.5,4.5863e-05,0,0,0,0,0.0094981,0.027587,0.41172,0.064225,0
1.5156,401.37,77.187,1.8853e+06,476.14,76791,0,0,0,0,0,0,-3.9751e-15,-2.4452e-13,1.0136e-12,-1.4104e-09,-1.474e-10,-1.9559e-09,0,-297.67,5.3602e+05,1185.4,-1.2392,0.39882,7082.8,5.9419e+05,1.099,676.23,4.592e-05,0,0,0,0,0.0093995,0.026203,0.41172,0.062457,0
1.5153,399.16,74.476,1.8854e+06,480.11,77900,0,0,0,0,0,0,-4.0138e-15,-2.5209e-13,1.0004e-12,-1.5369e-09,-1.4794e-10,-1.9917e-09,0,-297.67,5.3626e+05,1186.2,-1.2386,0.39613,7083.5,5.9364e+05,1.0986,676.45,4.5938e-05,0,0,0,0,0.0093395,0.025915,0.41172,0.062099,0
1.5529,434.78,157.9,1.9056e+06,329.76,23594,0,0,0,0,0,0,3.3619e-16,-1.6728e-13,2.5366e-13,8.0394e-10,-1.5698e-11,-5.7945e-11,0,-297.67,5.3799e+05,1161.2,-1.2348,0.44506,7054.6,6.1094e+05,1.0959,669.29,4.5369e-05,0,0,0,0,0.021704,0.010624,0.41172,0.026308,0
