SENS_AOA=0
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"," x_Sens","y_Sens"
13950, -1.087561987370253e-01, -3.542514700413849e-02, -3.279841036001296e-06, 1.101704724261021e-05, 2.218294913250529e-08, 3.412089223530000e-01, -1.682658452500000e-02, 1.412287245906080e-01, -7.199262514843993e-02
13951, -4.506384469497450e-02, -3.554721867505981e-02, -3.011042848047358e-06, 1.121264824960285e-05, 2.217982541875099e-08, 3.404850258490000e-01, -1.702427249620000e-02, 8.590967521120993e-02, -2.392963757226082e-02
13952, 1.746865122810325e-02, -3.558830344084485e-02, -2.965653233855109e-06, 1.124751372848295e-05, 2.213290289277240e-08, 3.397579969020000e-01, -1.720958963510000e-02, -1.062292100897715e-02, 1.529808656824471e-02
13953, 2.439137212094387e-02, -3.559008547677513e-02, -3.025866400630144e-06, 1.119348135663445e-05, 2.208607832984137e-08, 3.390323310980000e-01, -1.739950354830000e-02, -5.116975973143087e-02, 1.167136962131436e-02
13954, -3.771058010671730e-03, -3.559585113025642e-02, -2.971219174402385e-06, 1.118402742672752e-05, 2.204617052289333e-08, 3.383080256020000e-01, -1.759389426730000e-02, -2.820795477590100e-02, -1.121968943397459e-02
13955, -5.680597795665224e-02, -3.561710842883317e-02, -2.685405446388131e-06, 1.130317747792241e-05, 2.207013543455402e-08, 3.375808366520000e-01, -1.777635373030000e-02, 5.274905719585074e-02, -4.606269188633828e-02
13956, -9.048438254002714e-02, -3.570744380177164e-02, -2.271082507552044e-06, 1.148293415869848e-05, 2.211437169595489e-08, 3.368479090690000e-01, -1.793316208930000e-02, 1.205520689029551e-01, -6.893170731719349e-02
13957, -6.691535496956119e-02, -3.576738176244773e-02, -1.800459432693497e-06, 1.167875680264257e-05, 2.218792869977436e-08, 3.361093725400000e-01, -1.805971950310000e-02, 1.513622487018538e-01, -4.504560259387268e-02
13958, 1.406555579851695e-02, -3.586041777812835e-02, -1.408148251153109e-06, 1.181456874542638e-05, 2.218015862152500e-08, 3.353662928290000e-01, -1.815450402050000e-02, 1.066708932234250e-01, 2.643007696312411e-02
13959, 9.870585197684408e-02, -3.587581925834601e-02, -1.301505422675584e-06, 1.183969808234611e-05, 2.210969274748481e-08, 3.346212788690000e-01, -1.823091439370000e-02, -7.543206750290686e-03, 9.845462541121452e-02
13960, 9.393543726539412e-02, -3.588004560728390e-02, -1.362373195086210e-06, 1.180511300818634e-05, 2.205407584255612e-08, 3.338767717720000e-01, -1.830991452120000e-02, -5.627892010103008e-02, 8.830921949106610e-02
13961, 6.555151645004770e-02, -3.588475023605330e-02, -1.279808213323666e-06, 1.177392604461618e-05, 2.200038086570473e-08, 3.331331346140000e-01, -1.839467939170000e-02, -2.488644788826103e-02, 6.334158950264815e-02
13962, -6.750392835895266e-03, -3.589872733189109e-02, -8.840781330966780e-07, 1.180747334529305e-05, 2.202285324643635e-08, 3.323880749980000e-01, -1.846271181350000e-02, 7.883942179741420e-02, -1.260189951395325e-03
13963, -7.453590103317353e-03, -3.590953824256469e-02, -3.641457866401153e-07, 1.186659431938069e-05, 2.209117377130615e-08, 3.316410682510000e-01, -1.849889483710000e-02, 1.372521322087111e-01, -3.919289959639416e-03
13876, 1.225548440442087e-01, -2.815251710496557e-02, -5.073288210255468e-06, 3.514156566373804e-06, 1.988947143520004e-08, 3.798945838700000e-01, 1.623061257640000e-02, -1.067915795232495e-01, 6.127591447557390e-02
13877, 1.205868622788492e-01, -2.815813069113784e-02, -5.082337928614996e-06, 3.543140547585330e-06, 1.989165168307640e-08, 3.795014289950000e-01, 1.567777046270000e-02, -1.039587890122315e-01, 6.192321139586320e-02
13878, 1.174032038058204e-01, -2.816837333714044e-02, -5.097605986307071e-06, 3.589800156778000e-06, 1.989460873947383e-08, 3.791059729610000e-01, 1.512656184110000e-02, -9.969084147917207e-02, 6.248276109556020e-02
13879, 1.081506151301576e-01, -2.818510201061900e-02, -5.119354719024610e-06, 3.651863707306747e-06, 1.989887362012630e-08, 3.787074523420000e-01, 1.457756178340000e-02, -9.025037174397860e-02, 5.980282518675201e-02
13880, 1.067697548778700e-01, -2.819711983372494e-02, -5.144833350173904e-06, 3.724043299939562e-06, 1.991593866805733e-08, 3.783051448330000e-01, 1.403133487530000e-02, -8.804158854091175e-02, 6.052362749986496e-02
13881, 1.186610587728105e-01, -2.822196539491088e-02, -5.163225069196056e-06, 3.780076393645438e-06, 1.991695346283384e-08, 3.778992848020000e-01, 1.348775206240000e-02, -9.859400513357951e-02, 6.630371326767744e-02
13882, 1.313832489864522e-01, -2.824287235297956e-02, -5.167701218979142e-06, 3.796843409618807e-06, 1.990481694210120e-08, 3.774917412630000e-01, 1.294544751270000e-02, -1.113850022517910e-01, 7.047050860908161e-02
13883, 1.394967801388844e-01, -2.825153571864064e-02, -5.160099064022760e-06, 3.780173396139159e-06, 1.988324106065345e-08, 3.770845234420000e-01, 1.240292371470000e-02, -1.203722369144244e-01, 7.197870753900976e-02
13884, 1.435974470980164e-01, -2.824975041402096e-02, -5.149497856047024e-06, 3.758564945228156e-06, 1.986310928896225e-08, 3.766786135180000e-01, 1.185945297170000e-02, -1.248065120441726e-01, 7.285587097223395e-02
13885, 1.443865830059895e-01, -2.824778861688946e-02, -5.143480603370403e-06, 3.752721165796158e-06, 1.984432630292560e-08, 3.762731133760000e-01, 1.131571587330000e-02, -1.253763130726208e-01, 7.341978301967272e-02
13886, 1.471204402522911e-01, -2.823359708169419e-02, -5.144051183042451e-06, 3.767540180549278e-06, 1.983696218996087e-08, 3.758669228510000e-01, 1.077254131370000e-02, -1.267563612687491e-01, 7.619897342278016e-02
13887, 1.569864387576031e-01, -2.822215920089265e-02, -5.151770039367532e-06, 3.806585885911385e-06, 1.982923999593490e-08, 3.754589456140000e-01, 1.023076208090000e-02, -1.333851425866559e-01, 8.389894753211224e-02
13888, 1.357951332280841e-01, -2.823900957146084e-02, -5.175207583255833e-06, 3.879570409015330e-06, 1.983020120114757e-08, 3.750481204460000e-01, 9.691201502000001e-03, -1.095845202013045e-01, 8.025335509764464e-02
13889, 1.409952931729223e-01, -2.824716315387405e-02, -5.193630668319585e-06, 3.958190377570951e-06, 1.982106589887059e-08, 3.746335708900000e-01, 9.154567079340000e-03, -1.086799482272643e-01, 8.991832801286510e-02
